Stock_,Open,High,Low,Close,Adj Close,Volume,Stock_Name
5/31/2018,253.479996,256.130005,251.199997,251.559998,251.559998,885000,ANET
6/1/2018,252.660004,262.98999,252.520004,261.220001,261.220001,1065900,ANET
6/4/2018,262.5,269,261.390015,268.279999,268.279999,939700,ANET
6/5/2018,268.299988,276.589996,267.26001,274.75,274.75,1302900,ANET
6/6/2018,275.380005,280.579987,275.369995,278.26001,278.26001,1252800,ANET
6/7/2018,278.5,279.25,269.429993,270.899994,270.899994,774200,ANET
6/8/2018,270.679993,274.709991,268.601013,273.75,273.75,514900,ANET
6/11/2018,273.75,276.674988,270.519989,271.679993,271.679993,1022800,ANET
6/12/2018,272.809998,276.470001,272.410004,274.640015,274.640015,555000,ANET
6/13/2018,276.589996,282.10199,275.380005,281.140015,281.140015,847900,ANET
6/14/2018,280.809998,284.549988,279.51001,281.119995,281.119995,762000,ANET
6/15/2018,279.429993,287,277.850006,286.619995,286.619995,1364500,ANET
6/18/2018,282.559998,283.649994,274.029999,279.220001,279.220001,1002100,ANET
6/19/2018,273.649994,277.929993,271.390015,273.799988,273.799988,747800,ANET
6/20/2018,276.619995,287.119995,276.619995,283.73999,283.73999,1027400,ANET
6/21/2018,284.390015,285.75,278.440002,279.320007,279.320007,484700,ANET
6/22/2018,280.980011,280.980011,269.309998,272.649994,272.649994,1111700,ANET
6/25/2018,268.670013,270,257.410004,259.880005,259.880005,1347600,ANET
6/26/2018,260.130005,265.255005,259.100006,262.380005,262.380005,718200,ANET
6/27/2018,262.75,264.480011,253.720001,254.289993,254.289993,914400,ANET
6/28/2018,253,260.559998,252.858002,258.269989,258.269989,551900,ANET
6/29/2018,259.899994,260.714996,256.76001,257.48999,257.48999,412800,ANET
7/2/2018,254.979996,261.450012,253.089996,261.359985,261.359985,441000,ANET
7/3/2018,262.200012,262.329987,255.449997,255.869995,255.869995,393300,ANET
7/5/2018,257.98999,258.684998,252.25,257.910004,257.910004,516900,ANET
7/6/2018,258.910004,263.929993,257.920013,262.390015,262.390015,314600,ANET
7/9/2018,269.869995,274.970001,265.609985,270.459991,270.459991,751100,ANET
7/10/2018,272,272,267.730011,268.549988,268.549988,377800,ANET
7/11/2018,265,270.959015,263.570007,269.320007,269.320007,386500,ANET
7/12/2018,271.890015,279.179993,270.674988,278.359985,278.359985,520900,ANET
7/13/2018,278.299988,278.359985,261.160004,266.48999,266.48999,1423900,ANET
7/16/2018,266.5,274.75,266.5,270.839996,270.839996,708400,ANET
7/17/2018,270.690002,274.76001,266.899994,273.880005,273.880005,288000,ANET
7/18/2018,273.880005,275.850006,273.079987,274.690002,274.690002,318100,ANET
7/19/2018,277.369995,281.200012,275.382996,276.25,276.25,586600,ANET
7/20/2018,277,277.809998,268.549988,268.839996,268.839996,568700,ANET
7/23/2018,269.48999,270.869995,263.5,268.390015,268.390015,574200,ANET
7/24/2018,270.390015,272.200012,262.980011,266.299988,266.299988,587400,ANET
7/25/2018,266.029999,275.980011,266.029999,274.309998,274.309998,520200,ANET
